Book 1,Book 2,Book 3,Facet,Language,Group,Selection,Answer Nr.,Nr. Known Books,Time,Participant ID
03,10,19,atmosphere,eng,1,10==19,3,11,493,273
03,10,19,atmosphere,ger,1,10==19,3,14,558,421
03,10,19,atmosphere,ger,1,10==19,3,8,273,429
03,10,19,content,eng,1,10==19,3,11,493,273
03,10,19,content,ger,1,10==19,3,14,558,421
03,10,19,content,ger,1,10==19,3,8,273,429
03,10,19,location,eng,1,10==19,3,11,493,273
03,10,19,location,ger,1,10==19,3,14,558,421
03,10,19,location,ger,1,10==19,3,8,273,429
03,10,19,plot,eng,1,10==19,3,11,493,273
03,10,19,plot,ger,1,10==19,3,14,558,421
03,10,19,plot,ger,1,10==19,3,8,273,429
03,10,19,time,eng,1,10==19,3,11,493,273
03,10,19,total,eng,1,10==19,3,11,493,273
03,10,19,total,ger,1,10==19,3,14,558,421
03,10,19,total,ger,1,10==19,3,8,273,429
03,10,20,atmosphere,eng,1,03==20,2,11,493,273
03,10,20,atmosphere,eng,2,03==20,2,17,417,334
03,10,20,atmosphere,ger,1,03==20,2,14,558,421
03,10,20,atmosphere,ger,2,03==20,2,7,296,282
03,10,20,atmosphere,ger,2,03==20,2,13,346,398
03,10,20,content,eng,1,03==20,2,11,493,273
03,10,20,content,eng,2,03==20,2,17,417,334
03,10,20,content,ger,2,03==20,2,7,296,282
03,10,20,content,ger,2,03==20,2,13,346,398
03,10,20,location,eng,1,03==10,1,11,493,273
03,10,20,location,eng,2,03==20,2,17,417,334
03,10,20,location,ger,2,03==20,2,7,296,282
03,10,20,location,ger,2,03==20,2,13,346,398
03,10,20,plot,eng,1,03==20,2,11,493,273
03,10,20,plot,eng,2,03==20,2,17,417,334
03,10,20,plot,ger,2,03==20,2,7,296,282
03,10,20,plot,ger,2,03==20,2,13,346,398
03,10,20,time,eng,2,03==10,1,17,417,334
03,10,20,time,ger,2,03==10,1,7,296,282
03,10,20,time,ger,2,03==10,1,13,346,398
03,10,20,total,eng,1,03==20,2,11,493,273
03,10,20,total,eng,2,03==20,2,17,417,334
03,10,20,total,ger,1,03==20,2,14,558,421
03,10,20,total,ger,2,03==20,2,7,296,282
03,10,20,total,ger,2,03==20,2,13,346,398
03,12,16,atmosphere,ger,1,03==12,1,8,231,391
03,12,16,atmosphere,ger,1,03==12,1,9,410,408
03,12,16,content,ger,1,03==12,1,8,231,391
03,12,16,content,ger,1,03==12,1,9,410,408
03,12,16,location,ger,1,03==12,1,8,231,391
03,12,16,location,ger,1,03==12,1,9,410,408
03,12,16,plot,ger,1,03==12,1,8,231,391
03,12,16,plot,ger,1,03==16,2,9,410,408
03,12,16,time,ger,1,03==12,1,8,231,391
03,12,16,time,ger,1,03==12,1,9,410,408
03,12,16,total,ger,1,03==12,1,8,231,391
03,12,16,total,ger,1,03==12,1,9,410,408
03,12,17,atmosphere,ger,1,03==12,1,8,231,391
03,12,17,atmosphere,ger,1,03==12,1,9,410,408
03,12,17,atmosphere,ger,2,03==12,1,9,374,306
03,12,17,atmosphere,ger,2,03==12,1,9,453,329
03,12,17,atmosphere,ger,2,03==12,1,10,361,407
03,12,17,content,ger,1,03==12,1,8,231,391
03,12,17,content,ger,1,03==12,1,9,410,408
03,12,17,content,ger,2,03==12,1,9,374,306
03,12,17,content,ger,2,03==12,1,9,453,329
03,12,17,content,ger,2,03==12,1,10,361,407
03,12,17,location,ger,1,03==12,1,8,231,391
03,12,17,location,ger,1,03==12,1,9,410,408
03,12,17,location,ger,2,03==12,1,9,374,306
03,12,17,location,ger,2,03==12,1,9,453,329
03,12,17,location,ger,2,03==12,1,10,361,407
03,12,17,plot,ger,1,03==12,1,8,231,391
03,12,17,plot,ger,1,03==12,1,9,410,408
03,12,17,plot,ger,2,03==12,1,9,374,306
03,12,17,plot,ger,2,03==12,1,9,453,329
03,12,17,plot,ger,2,03==12,1,10,361,407
03,12,17,time,ger,1,03==12,1,8,231,391
03,12,17,time,ger,1,03==12,1,9,410,408
03,12,17,time,ger,2,03==12,1,9,374,306
03,12,17,time,ger,2,03==12,1,9,453,329
03,12,17,time,ger,2,03==12,1,10,361,407
03,12,17,total,ger,1,03==12,1,8,231,391
03,12,17,total,ger,1,03==12,1,9,410,408
03,12,17,total,ger,2,03==12,1,9,374,306
03,12,17,total,ger,2,03==12,1,9,453,329
03,12,17,total,ger,2,03==12,1,10,361,407
03,12,19,atmosphere,eng,1,03==12,1,11,493,273
03,12,19,total,eng,1,03==12,1,11,493,273
03,12,20,atmosphere,ger,1,03==12,1,9,410,408
03,12,20,atmosphere,ger,2,03==12,1,9,374,306
03,12,20,atmosphere,ger,2,03==12,1,4,121,430
03,12,20,content,ger,1,03==12,1,9,410,408
03,12,20,content,ger,2,03==12,1,9,374,306
03,12,20,content,ger,2,03==12,1,4,121,430
03,12,20,location,ger,1,03==12,1,9,410,408
03,12,20,location,ger,2,03==12,1,9,374,306
03,12,20,location,ger,2,03==12,1,4,121,430
03,12,20,plot,ger,1,03==20,2,9,410,408
03,12,20,plot,ger,2,03==12,1,9,374,306
03,12,20,plot,ger,2,03==12,1,4,121,430
03,12,20,time,ger,2,03==12,1,4,121,430
03,12,20,total,ger,1,03==12,1,9,410,408
03,12,20,total,ger,2,03==12,1,9,374,306
03,12,20,total,ger,2,03==12,1,4,121,430
03,16,17,atmosphere,ger,1,16==17,3,8,231,391
03,16,17,atmosphere,ger,1,16==17,3,9,410,408
03,16,17,content,ger,1,16==17,3,8,231,391
03,16,17,location,ger,1,16==17,3,8,231,391
03,16,17,plot,ger,1,03==16,1,8,231,391
03,16,17,total,ger,1,16==17,3,8,231,391
03,16,17,total,ger,1,03==16,1,9,410,408
03,16,19,atmosphere,ger,2,16==19,3,8,255,397
03,16,19,total,ger,2,03==16,1,8,255,397
03,16,20,atmosphere,ger,2,16==20,3,8,290,362
03,16,20,content,ger,2,16==20,3,8,290,362
03,16,20,location,ger,2,16==20,3,8,290,362
03,16,20,plot,ger,2,03==20,2,8,290,362
03,16,20,time,ger,2,03==16,1,8,290,362
03,16,20,total,ger,2,03==20,2,8,290,362
03,17,20,atmosphere,ger,2,03==20,2,9,453,329
03,17,20,content,ger,2,17==20,3,9,453,329
03,17,20,location,ger,2,17==20,3,9,453,329
03,17,20,plot,ger,2,03==20,2,9,453,329
03,17,20,total,ger,2,03==20,2,9,453,329
03,19,20,atmosphere,eng,2,03==20,2,19,374,345
03,19,20,total,eng,2,03==20,2,19,374,345
04,05,06,atmosphere,eng,1,04==05,1,9,427,417
04,05,06,atmosphere,ger,1,04==06,2,10,281,327
04,05,06,content,eng,1,04==05,1,9,427,417
04,05,06,content,ger,1,04==06,2,10,281,327
04,05,06,location,eng,1,04==05,1,9,427,417
04,05,06,location,ger,1,04==06,2,10,281,327
04,05,06,plot,eng,1,04==05,1,9,427,417
04,05,06,plot,ger,1,04==06,2,10,281,327
04,05,06,time,eng,1,04==05,1,9,427,417
04,05,06,time,ger,1,05==06,3,10,281,327
04,05,06,total,eng,1,04==05,1,9,427,417
04,05,06,total,ger,1,04==06,2,10,281,327
04,05,07,atmosphere,eng,1,05==07,3,8,558,309
04,05,07,atmosphere,eng,1,05==07,3,7,429,355
04,05,07,atmosphere,eng,1,05==07,3,9,427,417
04,05,07,atmosphere,eng,2,05==07,3,10,366,336
04,05,07,atmosphere,ger,1,05==07,3,7,567,284
04,05,07,atmosphere,ger,1,05==07,3,10,281,327
04,05,07,atmosphere,ger,1,05==07,3,8,462,333
04,05,07,atmosphere,ger,1,05==07,3,8,231,391
04,05,07,atmosphere,ger,1,05==07,3,8,264,426
04,05,07,atmosphere,ger,1,05==07,3,8,396,443
04,05,07,atmosphere,ger,2,05==07,3,5,281,326
04,05,07,atmosphere,ger,2,05==07,3,9,341,354
04,05,07,atmosphere,ger,2,05==07,3,13,346,398
04,05,07,atmosphere,ger,2,05==07,3,11,406,442
04,05,07,content,eng,1,05==07,3,8,558,309
04,05,07,content,eng,1,05==07,3,7,429,355
04,05,07,content,eng,1,05==07,3,9,427,417
04,05,07,content,eng,2,05==07,3,10,366,336
04,05,07,content,ger,1,05==07,3,7,567,284
04,05,07,content,ger,1,05==07,3,10,281,327
04,05,07,content,ger,1,05==07,3,8,264,426
04,05,07,content,ger,1,04==07,2,8,396,443
04,05,07,content,ger,2,05==07,3,5,281,326
04,05,07,content,ger,2,05==07,3,9,341,354
04,05,07,content,ger,2,05==07,3,13,346,398
04,05,07,content,ger,2,05==07,3,11,406,442
04,05,07,location,eng,1,04==07,2,8,558,309
04,05,07,location,eng,1,05==07,3,7,429,355
04,05,07,location,eng,1,skip,-1,9,427,417
04,05,07,location,eng,2,05==07,3,10,366,336
04,05,07,location,ger,1,05==07,3,7,567,284
04,05,07,location,ger,1,05==07,3,10,281,327
